X[s],"Trigno IM sensor 13: EMG 13 (IM)",X[s],"Trigno IM sensor 13: ACC X 13 (IM)",X[s],"Trigno IM sensor 13: ACC Y 13 (IM)",X[s],"Trigno IM sensor 13: ACC Z 13 (IM)",X[s],"Trigno IM sensor 13: Gyro X 13 (IM)",X[s],"Trigno IM sensor 13: Gyro Y 13 (IM)",X[s],"Trigno IM sensor 13: Gyro Z 13 (IM)",X[s],"Trigno IM sensor 13: Mag X 13 (IM)",X[s],"Trigno IM sensor 13: Mag Y 13 (IM)",X[s],"Trigno IM sensor 13: Mag Z 13 (IM)"
0.0918,-6.546121E-05,0.6885,0.9812012,0.6885,0.2824707,0.6885,-0.1401367,0.6885,1.320611,0.6885,1.503817,0.6885,-3.709924,1.377,-38.3,1.377,-73.4,1.377,-19.8
0.0927,-6.730755E-05,0.69525,0.980957,0.69525,0.277832,0.69525,-0.1489258,0.69525,1,0.69525,1.618321,0.69525,-4.122138,1.3905,-38.4,1.3905,-73.1,1.3905,-20.8
0.0936,-6.579691E-05,0.702,0.9787598,0.702,0.2817383,0.702,-0.1508789,0.702,0.8625954,0.702,1.954198,0.702,-4.641222,1.404,-38.6,1.404,-73.1,1.404,-19.3
0.09450001,-6.210422E-05,0.70875,0.979248,0.70875,0.2727051,0.70875,-0.1437988,0.70875,0.908397,0.70875,2.145038,0.70875,-5.198473,1.4175,-38.1,1.4175,-73.7,1.4175,-19.2
0.09540001,-6.193637E-05,0.7155,0.9787598,0.7155,0.2849121,0.7155,-0.1489258,0.7155,0.870229,0.7155,2.305344,0.7155,-5.633588,1.431,-38.4,1.431,-74,1.431,-19.8
0.09630001,-6.764325E-05,0.72225,0.9772949,0.72225,0.2822266,0.72225,-0.1491699,0.72225,0.5648855,0.72225,2.641221,0.72225,-6.099236,1.4445,-38.6,1.4445,-73.8,1.4445,-19.5
0.0972,-6.764325E-05,0.729,0.972168,0.729,0.2924805,0.729,-0.1337891,0.729,0.4351145,0.729,2.847328,0.729,-6.328244,1.458,-38.4,1.458,-73.5,1.458,-20.3
0.0981,-5.992218E-05,0.73575,0.9726563,0.73575,0.2983398,0.73575,-0.1352539,0.73575,0.1832061,0.73575,3.198473,0.73575,-6.496183,1.4715,-38.3,1.4715,-73.7,1.4715,-19.6
0.099,-6.294347E-05,0.7425,0.9667969,0.7425,0.300293,0.7425,-0.1379395,0.7425,-0.2366412,0.7425,3.160305,0.7425,-6.557252,1.485,-38.2,1.485,-73.1,1.485,-21.3
0.0999,-6.092927E-05,0.74925,0.965332,0.74925,0.3083496,0.74925,-0.1411133,0.74925,-0.2671756,0.74925,3.061069,0.74925,-6.48855,1.4985,-38.1,1.4985,-73.4,1.4985,-19.8
